,level,genre,ID,name,episode_total,likeit
0,best,101,221400,헤 젤,81,1160
1,best,101,409283,윤연주 영어샘,90,951
2,best,101,533745,마리아엘,104,112
3,best,101,458846,메리유,7,163
4,best,101,479891,다노수,36,72
5,best,101,410217,kamarati,101,74
6,best,101,540184,하수영,96,373
7,best,101,539502,런던사랑,71,52
8,best,101,531028,초록 물고기,88,85
9,best,101,527501,초콜릿악마,45,1511
10,best,101,411963,박메가,6,1424
11,best,101,547121,RIYA,129,0
12,best,101,521183,느린꽃,73,364
13,best,101,396141,이달아,71,875
14,best,101,489762,이브나-,83,19
15,best,101,377644,샨탈,1,652
16,best,101,534021,샨탈,18,0
17,best,101,138937,너는내운명_신세진,41,462
18,best,101,554438,블 루 스 카 이,12,0
19,best,101,528108,손작가,72,439
20,best,101,523598,이 정,69,514
21,best,101,491876,이재온,124,324
22,best,101,407247,윤다온,98,343
23,best,101,426242,아비게일,97,990
24,best,101,420462,제쓰리,94,1005
25,best,101,513949,카도매,59,114
26,best,101,507429,에시드,19,79
27,best,101,472819,파스카,17,279
28,best,101,539286,오즈의맙소사,34,96
29,best,101,351993,아산테,188,215
30,best,101,187701,하트나무,279,1653
31,best,101,543936,량품,102,12
32,best,101,353459,다나월,50,417
33,best,101,296333,그레이트 조,41,132
34,best,101,398075,에시드,320,462
35,best,101,519498,가드너스,96,303
36,best,101,89749,소휘,84,527
37,best,101,536509,유오디아,32,366
38,best,101,479423,늘ㅎH랑,33,554
39,best,101,536598,효월(김시현),48,185
40,best,101,541213,파란수국,28,178
41,best,101,479415,Ciel시엘,147,718
42,best,101,264631,야옹마마,99,1375
43,best,101,529338,뚜이 .,112,343
44,best,101,89971,하얀라일락,175,694
45,best,101,546765,낮달꿈,39,0
46,best,101,505657,꿀토끼,25,111
47,best,101,454447,♡아이리스♡,50,325
48,best,101,535202,블 루 스 카 이,23,557
49,best,101,533887,청효,83,90
50,best,101,545751,쥬블리,56,0
51,best,101,137378,술취한꼬냥이,94,2277
52,best,101,512707,진이현,74,288
53,best,101,361300,청아휘,6,1033
54,best,101,554988,봄유,26,0
55,best,101,496902,용감한 자매,67,1769
56,best,101,537213,붉은토마토,74,41
57,best,101,402565,이신서,233,249
58,best,101,534390,긴-봄,58,49
59,best,101,272920,그린비a,81,1716
60,best,101,527274,매혹화,207,382
61,best,101,97071,레죵,142,4789
62,best,101,57618,제쓰리,58,2374
63,best,101,508392,애랑*,115,560
64,best,101,468312,김 정 연,92,488
65,best,101,498329,킴세,1,1091
66,best,101,281502,정도령,39,498
67,best,101,491599,C.해성,8,322
68,best,101,390312,레인리,50,298
69,best,101,538109,최나루,42,39
70,best,101,205491,헤 젤,113,985
71,best,101,547385,시간아 천천히,58,0
72,best,101,405685,썬율,89,237
73,best,101,495848,선송이,57,77
74,best,101,346483,리 렐,33,768
75,best,101,233214,해맑,43,126
76,best,101,530958,요귀염이,89,861
77,best,101,546686,라떼떼,23,0
78,best,101,523440,메텔,74,95
79,best,101,492973,온하람,80,399
80,best,101,495034,서하린,105,143
81,best,101,408936,진서아,67,272
82,best,101,539450,혜안慧眼,34,133
83,best,101,263457, 백주향,204,257
84,best,101,513083,수수한 영,70,155
85,best,101,408286,꿀토끼,126,204
86,best,101,512339,싹이튼감자,44,254
87,best,101,470391,사나story,44,63
88,best,101,364337,윤궐,37,930
89,best,101,512041,노벰버11,6,821
90,best,101,242308,SEOBANG(書訪),164,752
91,best,101,508428,욘더,64,233
92,best,101,333567,아비게일,138,1482
93,best,101,532969,애둘난 김작가,117,632
94,best,101,293152,알라이,108,809
95,best,101,522990,이햇살,87,440
96,best,101,481331,은울림,0,651
97,best,101,425239,메리유,44,583
98,best,101,464501,욘더,53,869
99,best,101,503631,양작가,155,735
100,best,101,532577,풀잎향기,61,98
101,best,101,466329,blueRose 놀마,85,187
102,best,101,466560,blueRose 놀마,85,243
103,best,101,94006,분홍연꽃,70,300
104,best,101,435864,최희,134,315
105,best,101,537950,kimhyeyoung,3,62
106,best,101,529028,"제이""",137,188
107,best,101,525752,원스토리,5,1190
108,best,101,427497,엔씨,40,591
109,best,101,285181,서률,47,24
110,best,101,541017,언정이,65,56
111,best,101,388934,릴리로즈,22,1070
112,best,101,298787,꿈꾸는 돼냥이,162,663
113,best,101,518861,김혜윰(뽕시꽁시),13,810
114,best,101,492903,요귀염이,12,1250
115,best,101,527904,카타르지나,40,307
116,best,101,330701,이솔Sol,8,1456
117,best,101,492933,래아來峨,74,669
118,best,101,406141,호텔아프리카,6,300
119,best,101,531428,배누리*,6,435
120,best,101,429866,가을s,131,708
121,best,101,331186,곤붕(鯤鵬),8,564
122,best,101,500996,양아썬,135,814
123,best,101,396814,귀여운 언니,127,567
124,best,101,71386,보령,9,183
