,contents,down_count,is_facebook,is_twitter,mobile_yn,modified_ymdt,object_id,registered_ymdt,ticket,up_count,writer_id,writer_ip,writer_nickname,writer_profile_type
0,완전 설레요. 울 신랑하고 8살 차이나는데 옛날 생각이 새록새록 납니다. 연애때 생각나요.,0,false,false,Y,2016-07-25T14:28:45.0+0900,novel-547121,2016-07-25T14:28:45.0+0900,novel02,0,moja****,119.192.xxx.93,,naver
1,항상 설레면서 봐요..^^*,0,false,false,N,2016-07-26T18:49:51.0+0900,novel-547121,2016-07-18T16:41:15.0+0900,novel02,4,pica****,49.142.xxx.61,,naver
2,완전. 잼나요~~~,0,false,false,Y,2016-07-25T11:00:04.0+0900,novel-547121,2016-07-15T16:18:03.0+0900,novel02,2,zero****,61.101.xxx.136,부천철이맘임다,naver
3,이 작품을 아저씨들이 좋아합니다. ㅋㅋㅋㅋㅋㅋㅋ,0,false,false,N,2016-07-20T08:27:11.0+0900,novel-547121,2016-07-13T14:49:15.0+0900,novel02,3,eoom****,115.90.xxx.59,화양연화,naver
4,잠 안자고 정주행 너무 재미있어요!!!!!,0,false,false,Y,2016-07-12T17:37:20.0+0900,novel-547121,2016-07-10T18:27:26.0+0900,novel02,1,whwj****,59.0.xxx.82,조정우,naver
5,읽는동안 행복했어요~~감사합니다,0,false,false,Y,2016-07-25T11:00:07.0+0900,novel-547121,2016-07-10T08:53:52.0+0900,novel02,3,wlsg****,14.48.xxx.22,,naver
6,"읽어보시면 행복함이 밀려왼요~
강추~ ^.~*",0,false,false,Y,2016-07-26T18:49:57.0+0900,novel-547121,2016-07-08T22:00:16.0+0900,novel02,9,toji****,211.227.xxx.13,진주빛 블랙홀,naver
7,"완전! 강추! 강추!

꼬옥 읽어보세요.

진짜정말 재미져요!",1,false,false,Y,2016-07-26T18:49:56.0+0900,novel-547121,2016-07-06T21:52:21.0+0900,novel02,7,suki****,122.47.xxx.167,일이야,naver
8,졸잼 꿀잼 핵잼,1,false,false,Y,2016-07-25T11:00:11.0+0900,novel-547121,2016-07-06T13:41:16.0+0900,novel02,7,tnsg****,175.215.xxx.41,tnsghk,naver
9,너무 좋아요~ 위기 없이 달달한채로 쭉 가는 게 가장 좋은 거 같아요!! 앞으로도 이렇게만 사랑스러워라!! 뿅!!~????,1,false,false,Y,2016-07-29T17:58:45.0+0900,novel-547121,2016-07-04T00:51:29.0+0900,novel02,13,sumi****,175.115.xxx.143,Fx민,naver
10,"업뎃이 자꾸만 기다려집니다~~^^
마니 올려주세요
너무 기다려져요~~^^
작가님 홧팅!!!!!",1,false,false,Y,2016-07-26T18:50:00.0+0900,novel-547121,2016-06-28T22:40:29.0+0900,novel02,8,kbl0****,183.91.xxx.7,,naver
11,작가님 읽을 때마다 설레고 행복합니다. ^^,1,false,false,N,2016-07-25T11:00:15.0+0900,novel-547121,2016-06-28T15:54:04.0+0900,novel02,6,73qu****,220.120.xxx.251,운목이,naver
12,"넘 잼있어서 첨  로그인했어요
기대이상입니다
베스트리그 진입 곧일듯합니다
정주행했더니 눈이 너무 아픈데 웃음만 나와요
빨리 업뎃해주심 땡큐일듯",1,false,false,Y,2016-07-26T18:50:04.0+0900,novel-547121,2016-06-17T22:58:01.0+0900,novel02,6,inju****,112.160.xxx.244,우유맘,naver
13,저도 조아라에서 넘어왔어요!!! 오자마자 선작등록하고 네이버에는 아직 40회지만 그래도 재밌게 읽을게용~~!!,0,false,false,Y,2016-07-25T11:00:28.0+0900,novel-547121,2016-06-13T00:56:08.0+0900,novel02,2,na00****,211.36.xxx.76,kjyanylove,naver
14,저도 조아라에서 넘어왔어요! ㅎㅎ 작가님화이팅!,0,false,false,Y,2016-06-10T21:02:04.0+0900,novel-547121,2016-06-10T18:32:06.0+0900,novel02,1,smwl****,223.62.xxx.37,밍정,naver
15,작가님 조아라글 보고 네이버로 넘어왔어요 ㅎㅎㅎㅎ 작가님 함내세요~~~ 네이버도 선호적해놓고 잘 지켜볼게요~~ 폭풍연재해서 조아라 연재 따라잡아주세요 ㅎㅎㅎ,0,false,false,Y,2016-06-28T10:05:37.0+0900,novel-547121,2016-06-10T17:31:22.0+0900,novel02,2,ckck****,211.36.xxx.183,안젤리나,naver
16,남녀주인공 모두 마음에 들어요~♡,0,false,false,Y,2016-07-15T12:40:25.0+0900,novel-521183,2016-07-15T12:40:25.0+0900,novel02,0,plkm****,118.33.xxx.49,,naver
