,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
0,best,101.0,547121,RIYA,129.0,9.97,8415,16
1,best,101.0,521183,느린꽃,73.0,10.0,7803,3
2,best,101.0,396141,이달아,71.0,9.97,4871,0
3,best,101.0,489762,이브나-,83.0,9.99,7372,7
4,best,101.0,377644,샨탈,1.0,9.97,2719,0
5,best,101.0,534021,샨탈,18.0,9.95,1640,0
6,best,101.0,138937,너는내운명_신세진,41.0,9.99,3836,0
7,best,101.0,554438,블 루 스 카 이,12.0,9.84,1671,2
8,best,101.0,528108,손작가,72.0,9.94,4879,6
9,best,101.0,523598,이 정,69.0,9.97,7705,0
10,best,101.0,491876,이재온,124.0,9.98,2181,9
11,best,101.0,407247,윤다온,98.0,9.98,3611,2
12,best,101.0,426242,아비게일,97.0,9.99,9017,0
13,best,101.0,420462,제쓰리,94.0,9.99,6727,0
14,best,101.0,513949,카도매,59.0,9.9,2141,1
15,best,101.0,533745,마리아엘,103.0,9.97,8903,2
16,best,101.0,507429,에시드,19.0,9.95,419,0
17,best,101.0,472819,파스카,17.0,9.99,1723,0
18,best,101.0,539286,오즈의맙소사,34.0,9.91,504,6
19,best,101.0,351993,아산테,188.0,9.85,1315,3
20,best,101.0,540184,하수영,95.0,9.97,4683,4
21,best,101.0,187701,하트나무,279.0,9.87,10052,1
22,best,101.0,543936,량품,102.0,9.95,1865,0
23,best,101.0,353459,다나월,50.0,9.99,3564,0
24,best,101.0,296333,그레이트 조,41.0,9.99,1446,1
25,best,101.0,398075,에시드,320.0,9.82,1982,0
26,best,101.0,519498,가드너스,96.0,9.96,4179,0
27,best,101.0,89749,소휘,84.0,9.88,3772,1
28,best,101.0,536509,유오디아,32.0,9.96,2294,3
29,best,101.0,479423,늘ㅎH랑,33.0,9.99,3486,2
30,best,101.0,536598,효월(김시현),48.0,9.99,2255,2
31,best,101.0,541213,파란수국,28.0,9.99,4175,2
32,best,101.0,479415,Ciel시엘,147.0,9.99,5361,0
33,best,101.0,264631,야옹마마,99.0,9.99,6263,0
34,best,101.0,458846,메리유,7.0,9.94,2707,2
35,best,101.0,529338,뚜이 .,112.0,9.99,4698,4
36,best,101.0,89971,하얀라일락,175.0,9.9,3760,0
37,best,101.0,546765,낮달꿈,39.0,9.94,2704,0
38,best,101.0,505657,꿀토끼,25.0,9.94,725,0
39,best,101.0,454447,♡아이리스♡,50.0,9.99,1467,0
40,best,101.0,535202,블 루 스 카 이,23.0,9.99,4633,3
41,best,101.0,533887,청효,83.0,9.99,3769,1
42,best,101.0,545751,쥬블리,56.0,10.0,1683,4
43,best,101.0,137378,술취한꼬냥이,94.0,9.95,15623,0
44,best,101.0,512707,진이현,74.0,9.98,4235,0
45,best,101.0,361300,청아휘,6.0,10.0,2625,0
46,best,101.0,554988,봄유,26.0,9.98,1467,0
47,best,101.0,531028,초록 물고기,87.0,9.99,3136,5
48,best,101.0,496902,용감한 자매,67.0,9.92,12125,3
49,best,101.0,537213,붉은토마토,74.0,9.98,2821,0
50,best,101.0,402565,이신서,233.0,9.8,1291,0
51,best,101.0,534390,긴-봄,58.0,9.99,2233,0
52,best,101.0,539502,런던사랑,70.0,9.96,2717,2
53,best,101.0,272920,그린비a,81.0,9.98,10367,0
54,best,101.0,527274,매혹화,207.0,10.0,2009,2
55,best,101.0,97071,레죵,142.0,9.97,25282,15
56,best,101.0,57618,제쓰리,58.0,9.98,14294,0
57,best,101.0,508392,애랑*,115.0,9.99,5655,3
58,best,101.0,468312,김 정 연,92.0,9.97,4194,0
59,best,101.0,410217,kamarati,100.0,9.93,418,0
60,best,101.0,498329,킴세,1.0,9.85,7893,1
61,best,101.0,281502,정도령,39.0,9.93,3744,2
62,best,101.0,409283,윤연주 영어샘,89.0,9.97,7055,3
63,best,101.0,491599,C.해성,8.0,9.99,2797,0
64,best,101.0,390312,레인리,50.0,9.84,1951,0
65,best,101.0,538109,최나루,42.0,9.99,2361,2
66,best,101.0,205491,헤 젤,113.0,9.84,7381,0
67,best,101.0,547385,시간아 천천히,58.0,9.99,1726,1
68,best,101.0,405685,썬율,89.0,9.98,2222,0
69,best,101.0,495848,선송이,57.0,9.97,2885,1
70,best,101.0,346483,리 렐,33.0,9.6,4791,1
71,best,101.0,233214,해맑,43.0,9.96,3436,1
72,best,101.0,530958,요귀염이,89.0,9.99,5202,4
73,best,101.0,527501,초콜릿악마,44.0,9.98,12380,5
74,best,101.0,546686,라떼떼,23.0,9.93,2191,0
75,best,101.0,523440,메텔,74.0,10.0,2935,0
76,best,101.0,492973,온하람,80.0,9.98,2915,5
77,best,101.0,495034,서하린,105.0,9.92,3312,0
