,ID,main_score,concern_count,comments_count
0,547121,9.97,8415,16
1,521183,10.0,7803,3
2,396141,9.97,4871,0
3,489762,9.99,7372,7
4,377644,9.97,2719,0
5,534021,9.95,1640,0
6,138937,9.99,3836,0
7,554438,9.84,1671,2
8,528108,9.94,4879,6
9,523598,9.97,7705,0
10,491876,9.98,2181,9
11,407247,9.98,3611,2
12,426242,9.99,9017,0
13,420462,9.99,6727,0
14,513949,9.9,2141,1
15,533745,9.97,8903,2
16,507429,9.95,419,0
17,472819,9.99,1723,0
18,539286,9.91,504,6
19,351993,9.85,1315,3
20,540184,9.97,4683,4
21,187701,9.87,10052,1
22,543936,9.95,1865,0
23,353459,9.99,3564,0
24,296333,9.99,1446,1
25,398075,9.82,1982,0
26,519498,9.96,4179,0
27,89749,9.88,3772,1
28,536509,9.96,2294,3
29,479423,9.99,3486,2
30,536598,9.99,2255,2
31,541213,9.99,4175,2
32,479415,9.99,5361,0
33,264631,9.99,6263,0
34,458846,9.94,2707,2
35,529338,9.99,4698,4
36,89971,9.9,3760,0
37,546765,9.94,2704,0
38,505657,9.94,725,0
39,454447,9.99,1467,0
40,535202,9.99,4633,3
41,533887,9.99,3769,1
42,545751,10.0,1683,4
43,137378,9.95,15623,0
44,512707,9.98,4235,0
45,361300,10.0,2625,0
46,554988,9.98,1467,0
47,531028,9.99,3136,5
48,496902,9.92,12125,3
49,537213,9.98,2821,0
50,402565,9.8,1291,0
51,534390,9.99,2233,0
52,539502,9.96,2717,2
53,272920,9.98,10367,0
54,527274,10.0,2009,2
55,97071,9.97,25282,15
56,57618,9.98,14294,0
57,508392,9.99,5655,3
58,468312,9.97,4194,0
59,410217,9.93,418,0
60,498329,9.85,7893,1
61,281502,9.93,3744,2
62,409283,9.97,7055,3
63,491599,9.99,2797,0
64,390312,9.84,1951,0
65,538109,9.99,2361,2
66,205491,9.84,7381,0
67,547385,9.99,1726,1
68,405685,9.98,2222,0
69,495848,9.97,2885,1
70,346483,9.6,4791,1
71,233214,9.96,3436,1
72,530958,9.99,5202,4
73,527501,9.98,12380,5
74,546686,9.93,2191,0
75,523440,10.0,2935,0
76,492973,9.98,2915,5
