,comment_no,contents,deleted_yn,down_count,enc_writer_id,enc_writer_profile_user_id,group_no,is_facebook,is_me2day,is_mine,is_reply,is_twitter,is_yozm,mobile_yn,modified_ymdt,object_id,object_url,parent_comment_no,registered_ymdt,reply_level,status,ticket,up_count,visible_yn,writer_id,writer_ip,writer_nickname,writer_profile_type,writer_profile_user_id
0,7147238,"대박
잼나여~",N,0,FwMQcXwi21oGBVg3bl%2FRyQ%3D%3D,Be9UU86D7RhoZEJ73jzZ%2BA%3D%3D,-7147238,false,false,N,N,false,false,Y,2016-07-11T00:13:05.0+0900,novel-547385,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=547385&section=best#commentDiv,0,2016-07-10T18:03:52.0+0900,1,0,novel02,1,Y,kyjb****,112.154.xxx.85,꿀물,naver,kyjb****
1,7176588,꿀잼ㅋㅋㅋㅋㅋㅋ,N,0,7AC2orEwkkiL72EVQhjTng%3D%3D,rExCQOrvl7wfelvHn8VFQg%3D%3D,-7176588,false,false,N,N,false,false,N,2016-07-27T13:09:45.0+0900,novel-539286,http://novel.naver.com/best/list.nhn?novelId=539286,0,2016-07-21T21:51:04.0+0900,1,0,novel02,3,Y,jhc0****,211.244.xxx.30,Mesut_ozil,naver,jhc0****
2,7172859,재밌어요!!!,N,0,hvvMB1%2BcxQG3TQcNnH45Tw%3D%3D,RjaYfZzLiMDsMdfFDEHOyw%3D%3D,-7172859,false,false,N,N,false,false,Y,2016-07-22T07:05:34.0+0900,novel-539286,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539286&section=best#commentDiv,0,2016-07-20T15:52:21.0+0900,1,0,novel02,3,Y,ymn2****,221.153.xxx.199,인니피트1025,naver,ymn2****
3,7144208,전개가 신선하고 등장인물들간에 케미가 돋보이네요ㅋㅋ꾸르잼,N,1,QYDX2iiqhR2z7JU8NlK9cA%3D%3D,7eMnbF6%2FZ4MsMZBuBvoQXw%3D%3D,-7144208,false,false,N,N,false,false,Y,2016-07-22T12:21:24.0+0900,novel-539286,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539286&section=best#commentDiv,0,2016-07-09T13:36:01.0+0900,1,0,novel02,4,Y,levi****,119.214.xxx.36,,naver,levi****
4,7138845,초능력을 이용한 러브라인.. 얘기가 어떻게 전개 될 지 기대되요!!ㅋㅋㅋ,N,0,YwEpmD%2BkMXfziGLL4G3HeA%3D%3D,JkD1eZI2KA5QCJ41jU%2FbUA%3D%3D,-7138845,false,false,N,N,false,false,Y,2016-07-22T12:21:25.0+0900,novel-539286,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539286&section=best#commentDiv,0,2016-07-07T07:58:31.0+0900,1,0,novel02,2,Y,xhtl****,223.62.xxx.246,토실토실,naver,xhtl****
5,7121989,챌린지 리그 때부터 재밌게 보고 있어요!,N,0,kvJHFLeO3kqRUd3Ep6BLHQ%3D%3D,46O1l4l5pbQuRmvYigwJuw%3D%3D,-7121989,false,false,N,N,false,false,Y,2016-07-22T12:21:27.0+0900,novel-539286,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539286&section=best#commentDiv,0,2016-06-30T21:06:08.0+0900,1,0,novel02,3,Y,psal****,218.152.xxx.188,박하영,naver,psal****
6,7121941,초능력이라 ㅋㅋㅋㅋㅋㅋㅋ 기존에 나와있는것과는 다른세계관일것인가의 기대감이 있네요 ㄹㄹ,N,1,%2Fm30qrK47HwyKh80nAe5eA%3D%3D,rOCfZmaPyTV%2FJvg9Map5GQ%3D%3D,-7121941,false,false,N,N,false,false,Y,2016-07-22T12:21:30.0+0900,novel-539286,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539286&section=best#commentDiv,0,2016-06-30T20:41:41.0+0900,1,0,novel02,4,Y,vdcf****,223.62.xxx.23,강신찬,naver,vdcf****
7,7167421,"베스트리그로 승격으 되셨네요. 먼저 축하드립니다. 항강 재미있게 보고 있었는데~나이차가 많이  나는 두 사람, 즉 하영과 환우의 사랑을 응원하고 결실을 이루길 기다리고 있습니다. 개인적으로 해피엔딩이었으면 좋겠어요~언제나 재미있는 글 올려주시는 작가님 끝까지 화이팅입니다.",N,0,%2FUBOoC0s6H6BSG6jLnxxUQ%3D%3D,rV5fTkIx%2BBbQORd0YWmvqg%3D%3D,-7167421,false,false,N,N,false,false,Y,2016-07-18T15:14:39.0+0900,novel-539502,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=539502&section=best#commentDiv,0,2016-07-18T15:13:40.0+0900,1,0,novel02,1,Y,asia****,115.137.xxx.200,하리마오,naver,asia****
8,7166312,작가님 항상 감사합니다.,N,0,9NjFpE6HfFphPh2DqvQzuw%3D%3D,mkLwzCwazSaClnX6qdVnGg%3D%3D,-7166312,false,false,N,N,false,false,N,2016-07-18T15:10:12.0+0900,novel-539502,http://novel.naver.com/challenge/list.nhn?novelId=539502,0,2016-07-17T23:32:27.0+0900,1,0,novel02,2,Y,ping****,58.232.xxx.193,,naver,ping****
9,7167708,여긴 아무도 없네여??,N,0,qwUz%2F5gzXqci30P4ddc40g%3D%3D,PQ1sunBAeMEWJqFqPl6QQg%3D%3D,-7167708,false,false,N,N,false,false,Y,2016-07-28T00:51:00.0+0900,novel-533745,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=533745&section=best#commentDiv,0,2016-07-18T17:21:00.0+0900,1,0,novel02,2,Y,joga****,124.60.xxx.78,샷치,naver,joga****
10,7177525,?,N,0,%2F8kBxFUmm4FcgZivhw8LUg%3D%3D,5lPDPBC%2BkKzpLdqk1ac33w%3D%3D,-7177525,false,false,N,N,false,false,Y,2016-07-26T00:05:57.0+0900,novel-495848,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=495848&section=best#commentDiv,0,2016-07-22T07:48:17.0+0900,1,0,novel02,2,Y,blue****,117.111.xxx.179,로즈,naver,blue****
11,7185315,최고~~~,N,0,bgfT8re2JiJNn52fCbQJvg%3D%3D,KxSrAnOo23uN2DyTkEeMGA%3D%3D,-7185315,false,false,N,N,false,false,Y,2016-07-25T12:48:13.0+0900,novel-531028,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=531028&section=best#commentDiv,0,2016-07-25T10:46:03.0+0900,1,0,novel02,1,Y,regu****,121.1.xxx.38,,naver,regu****
12,7143934,ㅣ,N,0,mYmBFR6QNIzOBYp5CLJHpw%3D%3D,VF0gAlAVOGcGWUGv5GDeqg%3D%3D,-7143934,false,false,N,N,false,false,Y,2016-07-18T00:22:10.0+0900,novel-531028,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=531028&section=challenge#commentDiv,0,2016-07-09T11:00:12.0+0900,1,0,novel02,1,Y,maya****,58.126.xxx.45,미유즈,naver,maya****
13,7134305,너무 예쁘고 고운 글입니댜~*^^*♡,N,2,NZd47bfq4RCUaI7dycP%2Fag%3D%3D,CIMZK07nTF9R0Z11kzQlog%3D%3D,-7134305,false,false,N,N,false,false,Y,2016-07-25T12:48:19.0+0900,novel-531028,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=531028&section=challenge#commentDiv,0,2016-07-05T14:13:21.0+0900,1,0,novel02,5,Y,kyjb****,112.154.xxx.85,꿀물,naver,kyjb****
14,7106099,"졸졸졸 흐르는 시냇물같은 감정표현이 읽는 이에게 은은한 미소를 짓게 하는 작품들. . 사랑합니다. 
부디 바란다면 시냇물에 작은 조약돌만 던져주시고 큰 돌맹이는 . . . .  ㅋ 힘내세요 화이팅!",N,1,CdKad0G%2FsP77pLNzyw%2Botg%3D%3D,3IJaZ2TBB2PCH6XOde0vHw%3D%3D,-7106099,false,false,N,N,false,false,Y,2016-07-19T22:56:25.0+0900,novel-531028,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=531028&section=challenge#commentDiv,0,2016-06-24T00:58:07.0+0900,1,0,novel02,5,Y,kmjp****,125.141.xxx.108,,naver,kmjp****
