,ID,level,genre,main_score,concern_count,episodes_count,comments_count
0,466391,webnovel,101.0,9.98,86094,95,179
1,398090,webnovel,101.0,9.98,71748,138,189
2,514809,webnovel,101.0,9.96,43120,51,125
3,505096,webnovel,101.0,9.95,48354,59,76
4,523286,webnovel,101.0,9.97,27443,43,29
5,552533,webnovel,101.0,9.92,16120,7,27
6,514807,webnovel,101.0,9.96,36196,51,56
7,466374,webnovel,101.0,9.86,34715,95,92
8,483047,webnovel,101.0,9.98,33926,77,29
9,514808,webnovel,101.0,9.92,31654,51,33
10,554027,webnovel,101.0,9.97,19749,7,25
11,473138,webnovel,101.0,9.94,29064,85,37
12,532196,webnovel,101.0,9.96,22466,33,26
13,505101,webnovel,101.0,9.96,28100,59,35
14,538920,webnovel,101.0,9.97,19175,24,46
15,514812,webnovel,101.0,9.95,20360,50,11
16,554029,webnovel,101.0,9.66,11761,7,24
17,485251,webnovel,101.0,9.94,22943,77,38
18,494448,webnovel,101.0,9.96,23982,69,57
19,545434,webnovel,101.0,9.97,16647,17,18
20,514814,webnovel,101.0,9.84,18739,51,21
21,538919,webnovel,101.0,9.96,16788,25,23
22,545432,webnovel,101.0,9.93,14708,16,13
23,554028,webnovel,101.0,9.96,9649,7,4
24,485250,webnovel,101.0,9.97,23096,76,18
25,532198,webnovel,101.0,9.92,15906,33,36
26,523290,webnovel,101.0,9.95,17589,43,27
27,545435,webnovel,101.0,9.97,13839,16,34
28,532199,webnovel,101.0,9.96,15875,33,58
29,494450,webnovel,101.0,9.96,19397,69,15
30,545430,webnovel,101.0,9.97,12557,16,18
31,554030,webnovel,101.0,9.94,9229,7,15
32,485252,webnovel,101.0,9.92,17507,77,24
33,494449,webnovel,101.0,9.95,17485,69,58
34,523285,webnovel,101.0,9.94,12379,43,16
35,505098,webnovel,101.0,9.96,14125,59,31
36,494446,webnovel,101.0,9.9,13152,69,13
37,505100,webnovel,101.0,9.97,14257,59,27
38,494453,webnovel,101.0,9.95,11346,52,28
39,538921,webnovel,101.0,9.95,7558,25,6
40,374465,webnovel,101.0,9.93,79937,8,212
41,272480,webnovel,101.0,9.93,67634,15,14
42,374464,webnovel,101.0,9.93,63080,8,66
43,456722,webnovel,101.0,9.96,67385,10,345
44,126772,webnovel,101.0,9.93,102453,7,88
45,348260,webnovel,101.0,9.93,42841,5,56
46,390145,webnovel,101.0,9.94,38845,7,32
47,153292,webnovel,101.0,9.94,47858,6,0
48,99028,webnovel,101.0,9.87,65480,7,1
49,3,webnovel,101.0,9.91,70117,5,5
50,153308,webnovel,101.0,9.94,69944,10,18
51,4,webnovel,101.0,9.93,94860,8,10
52,188284,webnovel,101.0,9.89,50050,5,0
53,252934,webnovel,101.0,9.93,49457,5,11
54,390140,webnovel,101.0,9.94,32915,5,30
55,409349,webnovel,101.0,9.94,40931,7,109
56,140730,webnovel,101.0,9.9,59196,7,13
57,319781,webnovel,101.0,9.92,38062,7,14
58,188289,webnovel,101.0,9.93,45720,10,5
59,319783,webnovel,101.0,9.95,32226,9,18
60,307729,webnovel,101.0,9.92,30651,10,3
61,204123,webnovel,101.0,9.9,40245,9,14
62,361651,webnovel,101.0,9.95,26982,8,29
63,409352,webnovel,101.0,9.94,22468,6,13
64,307727,webnovel,101.0,9.94,30227,8,0
65,84285,webnovel,101.0,9.94,38731,15,11
66,67960,webnovel,101.0,9.76,22352,26,12
67,398097,webnovel,101.0,9.94,24707,5,89
68,252935,webnovel,101.0,9.94,31161,5,1
69,319787,webnovel,101.0,9.94,26752,10,15
70,113899,webnovel,101.0,9.9,37208,10,0
71,466378,webnovel,101.0,9.97,22152,8,23
72,433835,webnovel,101.0,9.94,20691,5,21
73,333313,webnovel,101.0,9.95,31204,7,58
74,466381,webnovel,101.0,9.96,23206,5,40
75,433839,webnovel,101.0,9.75,21015,6,72
76,113901,webnovel,101.0,9.91,20973,7,1
77,153306,webnovel,101.0,9.81,28439,5,3
78,433830,webnovel,101.0,9.92,16767,7,17
79,2,webnovel,101.0,9.94,41991,10,0
80,390141,webnovel,101.0,9.94,23943,5,33
81,272481,webnovel,101.0,9.93,19418,5,0
82,215390,webnovel,101.0,9.93,22946,10,4
83,423618,webnovel,101.0,9.96,20976,9,42
84,67958,webnovel,101.0,9.92,24948,5,3
85,140728,webnovel,101.0,9.93,30124,8,1
86,398091,webnovel,101.0,9.93,15219,5,21
87,1,webnovel,101.0,9.92,26744,11,3
88,166562,webnovel,101.0,9.91,17848,5,0
89,73170,webnovel,101.0,9.71,22560,6,1
90,473137,webnovel,101.0,9.96,15654,74,23
91,319786,webnovel,101.0,9.92,19922,5,5
92,272508,webnovel,101.0,9.87,18753,5,4
93,348265,webnovel,101.0,9.41,10661,5,1
94,63070,webnovel,101.0,9.75,10886,5,1
95,252936,webnovel,101.0,9.72,15739,10,1
96,319785,webnovel,101.0,9.95,17565,5,1
97,272482,webnovel,101.0,9.92,20672,10,1
98,466376,webnovel,101.0,9.93,11819,5,16
99,473136,webnovel,101.0,9.94,13318,5,11
100,63068,webnovel,101.0,9.7,14744,60,0
101,50842,webnovel,101.0,9.88,14497,15,0
102,215393,webnovel,101.0,9.95,14097,5,1
103,333314,webnovel,101.0,9.92,10736,5,3
104,423619,webnovel,101.0,9.94,9359,5,11
105,374463,webnovel,101.0,9.94,12050,5,4
106,423621,webnovel,101.0,9.91,10164,5,12
107,374459,webnovel,101.0,9.87,8506,5,14
108,153302,webnovel,101.0,9.9,12492,7,1
109,231620,webnovel,101.0,9.94,8125,5,0
110,307728,webnovel,101.0,9.94,8480,9,1
111,73177,webnovel,101.0,9.91,12270,5,1
112,188282,webnovel,101.0,9.93,10766,5,1
113,231623,webnovel,101.0,9.92,14155,9,0
114,361652,webnovel,101.0,9.93,9584,5,12
115,456726,webnovel,101.0,9.9,7209,7,10
116,361649,webnovel,101.0,9.82,8100,5,5
117,456725,webnovel,101.0,9.89,10124,6,25
118,231619,webnovel,101.0,9.93,6954,5,0
119,153310,webnovel,101.0,9.71,13688,5,0
120,456723,webnovel,101.0,9.92,7077,7,12
121,409348,webnovel,101.0,9.88,5803,5,22
122,126773,webnovel,101.0,9.77,6076,7,0
123,140735,webnovel,101.0,9.89,12039,7,0
124,63069,webnovel,101.0,9.55,8039,3,1
125,272499,webnovel,101.0,9.62,6779,10,1
126,126771,webnovel,101.0,9.78,7223,6,3
127,188292,webnovel,101.0,8.68,1685,32,0
128,188295,webnovel,101.0,5.53,946,24,1
129,291830,webnovel,101.0,9.57,2528,52,3
130,554032,webnovel,102.0,9.93,11204,7,21
131,532197,webnovel,102.0,9.98,17330,33,46
132,307731,webnovel,102.0,9.94,28427,199,187
133,374462,webnovel,102.0,9.97,23097,155,65
134,523289,webnovel,102.0,9.93,11147,43,21
135,523291,webnovel,102.0,9.95,10576,42,37
136,409354,webnovel,102.0,9.96,13485,129,43
137,523293,webnovel,102.0,9.98,8134,42,73
138,409350,webnovel,102.0,9.98,14540,128,234
139,523287,webnovel,102.0,9.98,6180,42,51
140,494451,webnovel,102.0,9.89,5343,69,21
141,433833,webnovel,102.0,9.96,7720,113,37
142,514810,webnovel,102.0,9.95,5639,51,37
143,398094,webnovel,102.0,9.81,5416,138,18
144,505103,webnovel,102.0,9.93,2487,59,36
145,5,webnovel,102.0,9.93,34128,5,3
146,140732,webnovel,102.0,9.94,39316,11,5
147,348258,webnovel,102.0,9.86,20802,9,19
148,390143,webnovel,102.0,9.95,19748,10,76
149,204121,webnovel,102.0,9.89,21865,10,34
150,7,webnovel,102.0,9.88,25755,30,9
151,11,webnovel,102.0,9.73,21464,10,3
152,231621,webnovel,102.0,9.94,17966,10,4
153,73175,webnovel,102.0,9.95,15003,60,5
154,272500,webnovel,102.0,9.9,15329,30,77
155,12,webnovel,102.0,9.82,22068,20,3
156,9,webnovel,102.0,9.94,12434,10,2
157,160709,webnovel,102.0,9.93,12074,17,3
158,98982,webnovel,102.0,9.89,15486,10,3
159,361653,webnovel,102.0,9.93,10018,45,9
160,215392,webnovel,102.0,9.95,11123,11,4
161,113895,webnovel,102.0,9.94,15338,46,4
162,13,webnovel,102.0,9.9,9549,10,2
163,348263,webnovel,102.0,9.95,9534,5,7
164,348261,webnovel,102.0,8.56,5032,10,31
165,6,webnovel,102.0,9.86,8109,50,1
166,10,webnovel,102.0,9.9,10411,10,1
167,166556,webnovel,102.0,9.89,7125,10,0
168,307732,webnovel,102.0,9.83,4669,31,29
169,84281,webnovel,102.0,9.93,7858,7,0
170,188291,webnovel,102.0,9.36,4827,80,2
171,50530,webnovel,102.0,9.9,4562,20,0
172,231622,webnovel,102.0,9.89,3385,52,3
173,98993,webnovel,102.0,9.81,2764,42,0
174,409351,webnovel,102.0,9.96,2354,104,36
175,215395,webnovel,103.0,9.94,63215,242,60
176,113897,webnovel,103.0,9.95,43627,294,160
177,333315,webnovel,103.0,9.96,32979,181,96
178,390149,webnovel,103.0,9.96,25831,147,63
179,485248,webnovel,103.0,9.96,10323,76,36
180,538922,webnovel,103.0,9.96,4818,24,20
181,505105,webnovel,103.0,9.93,6690,59,13
182,545436,webnovel,103.0,9.76,2681,16,14
183,473140,webnovel,103.0,9.88,5579,85,42
184,473139,webnovel,103.0,9.89,4826,85,32
185,8,webnovel,103.0,9.83,81131,10,97
186,14,webnovel,103.0,9.93,62670,10,7
187,73222,webnovel,103.0,9.94,29990,10,3
188,390148,webnovel,103.0,9.48,16836,139,47
189,215396,webnovel,103.0,9.82,11805,10,7
190,153311,webnovel,103.0,9.37,12006,123,6
191,15,webnovel,103.0,9.86,11610,10,5
192,374461,webnovel,103.0,9.75,8765,10,81
