,level,genre,ID,name,episode_total,likeit
0,webnovel,101,466391,노승아,96,20028
1,webnovel,101,398090,윤이수,139,17547
2,webnovel,101,514809,이경하,52,8742
3,webnovel,101,505096,박수정(방울마마),59,8583
4,webnovel,101,523286,플아다,44,3243
5,webnovel,101,552533,웹소설 작가,8,0
6,webnovel,101,514807,Lunar 이지연,52,5038
7,webnovel,101,466374,천지혜,95,7644
8,webnovel,101,483047,설래인,77,6055
9,webnovel,101,514808,임혜,52,5712
10,webnovel,101,554027,안테,8,0
11,webnovel,101,473138,정도령,86,5103
12,webnovel,101,532196,달콤J,34,3532
13,webnovel,101,505101,carbo,60,5141
14,webnovel,101,538920,강하다,25,2711
15,webnovel,101,514812,김로아(진저더캣),51,2946
16,webnovel,101,485251,다인 김민경,78,4036
17,webnovel,101,554029,장현미,8,0
18,webnovel,101,494448,이정운,70,4857
19,webnovel,101,514814,효월(김시현),51,2769
20,webnovel,101,545434,체크인,18,24
21,webnovel,101,538919,이하린,25,2108
22,webnovel,101,554028,은빈,7,0
23,webnovel,101,545432,최나루,17,14
24,webnovel,101,485250,닻별,77,3973
25,webnovel,101,532198,청몽채화,34,2795
26,webnovel,101,523290,별규,44,2693
27,webnovel,101,545435,남꽃분,17,7
28,webnovel,101,532199,이른봄,34,2694
29,webnovel,101,494450,월우,70,3677
30,webnovel,101,545430,로즈빈,17,9
31,webnovel,101,485252,김청아,78,3423
32,webnovel,101,554030,초콜릿악마,8,0
33,webnovel,101,494449,하야시,70,4467
34,webnovel,101,523285,용감한 자매,44,1582
35,webnovel,101,505098,사하,60,2651
36,webnovel,101,494446,백영옥,70,2143
37,webnovel,101,505100,밀밭,60,3032
38,webnovel,101,494453,순수(soonsu),53,2104
39,webnovel,101,538921,이도화(道華),26,905
40,webnovel,101,374465,달콤J,8,26765
41,webnovel,101,272480,고결,15,26644
42,webnovel,101,374464,은빈,8,18236
43,webnovel,101,456722,안테,10,21501
44,webnovel,101,126772,윤이수,7,34551
45,webnovel,101,348260,박수정(방울마마),5,14337
46,webnovel,101,390145,시크크,7,10638
47,webnovel,101,153292,Lunar 이지연,6,14712
48,webnovel,101,99028,훈자,7,10038
49,webnovel,101,3,백묘,5,1558
50,webnovel,101,153308,김레인,10,23738
51,webnovel,101,4,유오디아,8,5351
52,webnovel,101,188284,루치아,5,22979
53,webnovel,101,252934,노승아,5,21310
54,webnovel,101,390140,용감한 자매,5,9759
55,webnovel,101,409349,강하다,7,12946
56,webnovel,101,140730,하야시,7,18895
57,webnovel,101,319781,Lee Jihye,7,12545
58,webnovel,101,188289,은빈,10,18555
59,webnovel,101,319783,로즈빈,9,13105
60,webnovel,101,307729,리메이,10,10307
61,webnovel,101,204123,임혜,9,17857
62,webnovel,101,361651,이재익&유은이,8,8780
63,webnovel,101,409352,플아다,6,6228
64,webnovel,101,307727,Lunar 이지연,8,11474
65,webnovel,101,84285,플아다,15,1431
66,webnovel,101,67960,시밝,26,590
67,webnovel,101,398097,육시몬,5,7129
68,webnovel,101,252935,박지영,5,12021
69,webnovel,101,319787,서이나,10,9094
70,webnovel,101,466378,로즈빈,8,5519
71,webnovel,101,113899,백묘,10,7433
72,webnovel,101,433835,이새인,5,5357
73,webnovel,101,333313,하야시,7,12983
74,webnovel,101,466381,정이준,5,5840
75,webnovel,101,433839,왕기대,6,5467
76,webnovel,101,113901,별에달이,7,2739
77,webnovel,101,153306,초콜릿악마,5,6207
78,webnovel,101,433830,미리내27,7,4415
79,webnovel,101,2,유세라,10,719
80,webnovel,101,390141,백묘,5,7214
81,webnovel,101,272481,플아다,5,6780
82,webnovel,101,215390,안테,10,9138
