,comment_no,contents,deleted_yn,down_count,enc_writer_id,enc_writer_profile_user_id,group_no,is_facebook,is_me2day,is_mine,is_reply,is_twitter,is_yozm,mobile_yn,modified_ymdt,object_id,object_url,parent_comment_no,registered_ymdt,reply_level,status,ticket,up_count,visible_yn,writer_id,writer_ip,writer_nickname,writer_profile_type,writer_profile_user_id
0,2400563,Á¾ÀÌÃ¥À¸·Î ³ª¿À¸é ¹«Á¶°Ç »ì²¨¿¡¿ä¤Ğ¤Ì,N,0,kFCjuWEil2fV2V6Y2Zu4%2Fg%3D%3D,xBnkbchwQucH3aJGVGs4zg%3D%3D,-2400563,false,false,N,N,false,false,Y,2016-07-30T18:31:04.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-30T01:47:46.0+0900,1,0,novel01,1,Y,cckc****,182.208.xxx.172,¶×³ÉÀÌ,naver,cckc****
1,2398093,ÃÖ°ö´Ï´Ù,N,0,XQTFFuvzT4l2mK%2BF9GJJEA%3D%3D,oFwunt%2BnyHkFe0EQ2ujbJw%3D%3D,-2398093,false,false,N,N,false,false,Y,2016-07-28T15:55:02.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-28T15:55:02.0+0900,1,0,novel01,0,Y,hhyy****,125.185.xxx.161,¶ÇÀÚ123,naver,hhyy****
2,2394590,"¿ï¸ç, ¿ôÀ¸¸ç, °¡½¿¼³·¹¸é¼­ º¸°íÀÖ½À´Ï´Ù. ¿¬Àç¿Ã¶ó¿À´Â ³¯ÀÌ ¿Ö ÀÌ¸® ±äÁö... È­.±İ¿äÀÏ 10½Ã30ºĞÀÌ µÇ¸é Á¦ÀÏ¸ÕÀú Å¬¸¯ÇÕ´Ï´Ù.",N,0,nfjBCvv9lci3yq8QvxzNsg%3D%3D,wKUr%2FhLBQHuUyjqG8yS2EQ%3D%3D,-2394590,false,false,N,N,false,false,Y,2016-07-28T10:22:55.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-26T18:47:09.0+0900,1,0,novel01,3,Y,jeon****,112.158.xxx.131,¼Ö¹æ¿ï,naver,jeon****
3,2394372,¿©ÅÂ±îÁö ÇÏ·çµµ ºüÁü¾øÀÌ ºÃ´Âµ¥ ¹ú½á ¿£µùÀÌ¶ó´¢!!!,N,0,wET5K60tdZB2KcfBBCzv5g%3D%3D,zSSwwuYX9yhWOF%2BnEM4eCA%3D%3D,-2394372,false,false,N,N,false,false,Y,2016-07-29T15:48:13.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv#commentDiv,0,2016-07-26T15:39:02.0+0900,1,0,novel01,6,Y,jian****,218.62.xxx.51,±Í¿©¹ÌÇÇ±×,naver,jian****
4,2393037,¾ğÁ¦ ³ª¿Í¿ä¤Ğ¤Ğ,N,0,40DaNSKLKwXtHv9mAj5bUA%3D%3D,yWsVo2q090cCpaQ6CzFkRg%3D%3D,-2393037,false,false,N,N,false,false,Y,2016-07-26T07:44:39.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-26T07:44:39.0+0900,1,0,novel01,0,Y,19ml****,211.173.xxx.49,¸ù±Û¸ù±Û,naver,19ml****
5,2380822,¹«·áºĞ ´Ùº¸°í À¯·áºÎºĞÀÌ ±Ã±İÇØ °áÁ¦ÇØ¼­ ³¡±îÁö º¸°í ´Ù½Ã 1È¸ºÎÅÍ Á¤ÁÖÇàÇß¾î¿ä Ã¥ÀĞÀ¸¸é¼­ ¸Ó¸®¼Ó¿¡ ±×Àå¸éÀÇ ±×¸²À» ±×·Á°¡¸é¼­ º»°Ô ¾ğÁ¦ÀÎÁö ÀĞÀ¸¸é¼­ Âü ÁÁ¾Ò½À´Ï´Ù,N,0,JyAV6cykzq3jXOaeUZqA2w%3D%3D,fGMh6PRvwrCZlz4D%2Ftns2w%3D%3D,-2380822,false,false,N,N,false,false,Y,2016-07-28T10:23:02.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-18T09:01:03.0+0900,1,0,novel01,4,Y,ayou****,121.164.xxx.38,³îºÎ¸¶´­,naver,ayou****
6,2377614,Áø½Éµå¶ó¸¶È­ ÇØ¾ßµÉ ÀÛÇ°!,N,0,kHxD%2FiscZOsMX6DTcRtJOA%3D%3D,pcPShDiaem9szZQW1lV71Q%3D%3D,-2377614,false,false,N,N,false,false,Y,2016-07-30T01:46:53.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-15T22:27:05.0+0900,1,0,novel01,9,Y,ippn****,1.228.xxx.149,Ãàº¹sw,naver,ippn****
7,2372599,ÀÌ ¼Ò¼³ ÀĞ°í ÀÛ°¡´Ô ÀÛÇ° ´Ù ÀĞÀº»ç¶÷ ¼ÕÁ»  (³ª¸¸ ¹ÌÄ£°Å ¾Æ´ÏÀİ¾Æ),N,1,L5RFH2oYRYF3SP1EPpUC1w%3D%3D,BiezIxG2Wfce2TsAiq3dXg%3D%3D,-2372599,false,false,N,N,false,false,N,2016-07-29T18:29:11.0+0900,novel-466391,http://novel.naver.com/webnovel/list.nhn?novelId=466391,0,2016-07-12T13:25:49.0+0900,1,0,novel01,8,Y,cute****,175.192.xxx.173,²ÉÃ¤,naver,cute****
8,2355083,"¹Ï°íº¸´Â ³ë½Â¾ÆÀÛ°¡´Ô±Û...
Çã´Ï º¸°í ´Ù¸¥°Íµµ ´Ù Ã£¾Æ¼­ µ·µé¿© º¸´ÂÁß

·Î¸ÇÆ½·¹½ÃÇÇ 
¹ı´ë·Î »ç¶ûÇÏ¶ó 
°áÈ¥Àº  ¹äÀÌ´Ù
¿ä ½Ã¸®Áîµé ¿¬°áµÇ¾î ´õ ÁÁÀºÀÛÇ°µé..

·Î¸Ç½º¸¸ ÀÖ´Â°ÍÀÌ ¾Æ´Ï¶ó
¹º°¡ ³²°ÜÁÖ´Â°ÍÀÌ ÀÖ¾î ´õ ÁÁ°í
³»°¡Á·À» ´Ù½Ã »ı°¢ÇÏ°í Ã¬±â°Ô µÇ¾î 
°¨»çÇØ¿ä ^^
¾ÕÀ¸·Îµµ ´õ ÁÁÀº±Û ±â´ëÇÒ²²¿ä",N,0,YaYDxkBOhrWHXr5vycnlLg%3D%3D,fdu4MzTONam7Rz5tk9LyUg%3D%3D,-2355083,false,false,N,N,false,false,Y,2016-07-28T10:26:25.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-02T01:23:07.0+0900,1,0,novel01,10,Y,moon****,223.62.xxx.227,´Ş,naver,moon****
9,2349756,ÀÌ¹Ì À¯·á·Î ´Ù ºÃÁö¸¸ ¹ÙÆ®´Ô ÀÏ·¯º¸·¯ Ç×»ó Ãâ±ÙµµÀåÂï³×¿ä.....ÇÏ ³Ñ³ª ÀºÇı·Î¿î°Í!!! µå¶ó¸¶·Î ³ª¿ÔÀ¸¸é ÁÁ°Ú¾î¿ä ¤Ğ¤Ğ ¹°·Ğ ¿©ÀÚ¾ÆÀÌµ¹Àº °ÅÀıÇÑ´å,N,0,cOEkqi%2F4B8w%2FX3%2BzNiFAow%3D%3D,s%2FwY90wp62IlGUK6ahwzsQ%3D%3D,-2349756,false,false,N,N,false,false,Y,2016-07-30T01:47:17.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-28T10:37:46.0+0900,1,0,novel01,16,Y,artk****,219.250.xxx.220,Àß»ì¾Æº¸¼¼,naver,artk****
10,2345285,¹«½ÉÈ÷ ºÃ´Ù°¡ ¿ÏÀü Á¤ÁÖÇà Çß³×¿ä...! ³Ñ³ª »ç¶û½º·¯¿î ÀÌ¾ß±â!,N,0,UwqfDMjBA%2BJhlgt52snJhw%3D%3D,CisDjjXWd86KmpduTiz%2B4g%3D%3D,-2345285,false,false,N,N,false,false,Y,2016-07-28T10:26:31.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-25T00:29:14.0+0900,1,0,novel01,8,Y,dlqh****,183.109.xxx.94,,naver,dlqh****
11,2337311,"³ë½Â¾Æ´Ô ÀÛÇ° Áß¿¡¼­ Çã´ÏÇã´Ï ¿şµùÀ» Ã³À½À¸·Î Á¢Çß°í Áß°£¿¡ º¸´Ù°¡ µŞ³»¿ëÀÌ Á¤¸» ±Ã±İÇØÁ®¼­ ¹Ì¸®º¸±â °áÁ¦±îÁö ÇØ¼­ ºÃ½À´Ï´Ù. ±×°Ô µÎ¼¼´ŞÀü ¾ê±âÁö¸¸ ÀÌÁ¦¿Í ÈÄ±â¸¦ ³²±â³×¿ä. µÎ¼¼´Ş ÀüÀÌ¾îµµ ³ë½Â¾Æ´Ô ÀÛÇ°ÀÌ ¹¹¶ö±î ÀÎ»ó¿¡ ³²¾Æ¿ä. ±×·¡¼­ Á¤ÁÖÇàÀ» ¸î ¹øÀÌ°í ´Ù½Ã ÇÏ°Ô µË´Ï´Ù. ±× ¸Å·ÂÀÌ ¾Æ¸¶ ´ä´äÇÏÁö ¾ÊÀº ÀÛ°¡´Ô¸¸ÀÇ Àü°³ ¹æ½Ä°ú Áß°£Áß°£ »§ÅÍÁö´Â ³»¿ë, »çÀÌ´ÙÃ³·³ »½ ¶Õ¸®´Â ³»¿ë¿¡ Çö¸íÇÑ ¿©ÀÚÁÖÀÎ°ø, ¾ÕÀÏ ¿¹»óÇÏ°í Ã³¼¼ÇÒ ÁÙ ¾Æ´Â ³²ÀÚÁÖÀÎ°ø ´öÀÌ ¾Æ´Ò±î ½Í¾î¿ä. ±× ´ö¿¡ ¹ú½áºÎÅÍ ´ÙÀ½ ÀÛÇ°µµ ¹«Ã´ ±â´Ù·ÁÁø´Ş±î¿ä. ±×¶§±îÁö ÀÛ°¡´ÔÀÇ ÀüÀÛµéµµ ¸ğµÎ Á¤ÁÖÇàÇØ¾ß°Ú½À´Ï´Ù!^^",N,0,3L7iHkC3NozjSnh%2Fzf2Xww%3D%3D,zZhqbInOOiSsvuGgjtV6rw%3D%3D,-2337311,false,false,N,N,false,false,Y,2016-07-29T02:33:51.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-19T21:34:46.0+0900,1,0,novel01,11,Y,sj94****,175.198.xxx.79,´Ğ³×ÀÓ±âÁØÀÌ±î´Ù·Ó´Ù,naver,sj94****
12,2337226,"³ë½Â¾Æ ÀÛ°¡´Ô, Çã´ÏÇã´Ï ¿şµù ²À ´ÜÇàº»À¸·Î ¼ÒÀåÇÏ°í ½Í¾î¿ä ¤»¤»¤»
±â´ëÇÒ°Ô¿ä. ^^
±×¸®°í °áÈ¥Àº ¹äÀÌ´Ùµµ ±¸ÀÔÇÏ°í ½ÍÀºµ¥ ÀÌ°Ç Ç°ÀıÀÌ³×¿ä. ±×·¡¼­ ·Î¸àÆ½ ·¹½ÃÇÇ¶û ¹ı´ë·Î »ç¶ûÇÏ¶ó ÀÖ¾î¿ä ¤Ğ¤Ğ¤»¤»¤»",N,0,9sgeuR3oUE2qQ%2BJfhaj%2FQQ%3D%3D,TF79wNR7xaF9vEhDnkInqQ%3D%3D,-2337226,false,false,N,N,false,false,N,2016-07-27T18:58:57.0+0900,novel-466391,http://novel.naver.com/webnovel/list.nhn?novelId=466391,0,2016-06-19T18:54:34.0+0900,1,0,novel01,7,Y,love****,223.131.xxx.45,½É´ÙÇı,naver,love****
13,2332747,³»ÀÏ ³ª¿Â´Ù¾Æ¾Æ¾ÆÀ¯¤Ğ¤Ğ¤Ğ¤Ğ¤Ğ,N,0,XxaRl177qyuMwNpQuqYa4A%3D%3D,Z9RWH2chfVj7i9qtWVdaIg%3D%3D,-2332747,false,false,N,N,false,false,N,2016-07-27T18:58:59.0+0900,novel-466391,http://novel.naver.com/webnovel/list.nhn?novelId=466391&page=2,0,2016-06-16T22:06:59.0+0900,1,0,novel01,5,Y,myna****,221.143.xxx.217,ÃÊÄİ·¹ÅäÇÇ¾Æ,naver,myna****
14,2328686,ÀÌ°Å ´ëÃæ ¸î½Ã¿¡ ¾÷µ« µÇ³ª¿µ?,N,0,K9imQ7SjmMLKHzZ8BUS8hA%3D%3D,npqcbeVKwQfrd5BUNsR6pQ%3D%3D,-2328686,false,false,N,N,false,false,Y,2016-07-28T10:26:48.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-14T00:34:13.0+0900,1,0,novel01,5,Y,wjdt****,14.37.xxx.220,Siana,naver,wjdt****
15,2328656,1°¡Á¤ 1³ë½Â¾Æ´Ôµµ ÁÁÀ»°Í°°Àºµ¥ ¤Ğ¤Ğ,N,0,VN5Ce8kzEgTPf3z3anX6Wg%3D%3D,OMu9nYci0tCAeCyfJeDYqQ%3D%3D,-2328656,false,false,N,N,false,false,Y,2016-07-27T18:59:00.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-13T23:49:04.0+0900,1,0,novel01,5,Y,1473****,115.161.xxx.125,¼³È­,naver,1473****
