,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
0,webnovel,101.0,466391,노승아,96.0,9.98,86342,181
1,webnovel,101.0,398090,윤이수,139.0,9.98,71965,188
2,webnovel,101.0,514809,이경하,52.0,9.96,43191,125
3,webnovel,101.0,505096,박수정(방울마마),59.0,9.95,48463,76
4,webnovel,101.0,523286,플아다,44.0,9.97,27875,31
5,webnovel,101.0,552533,웹소설 작가,8.0,9.92,16989,34
6,webnovel,101.0,514807,Lunar 이지연,52.0,9.96,36450,56
7,webnovel,101.0,466374,천지혜,95.0,9.86,34765,92
8,webnovel,101.0,483047,설래인,77.0,9.98,34029,29
9,webnovel,101.0,514808,임혜,52.0,9.92,32022,34
10,webnovel,101.0,473138,정도령,86.0,9.94,29185,37
11,webnovel,101.0,554027,안테,8.0,9.97,20521,28
12,webnovel,101.0,532196,달콤J,34.0,9.96,22545,26
13,webnovel,101.0,505101,carbo,60.0,9.96,28195,35
14,webnovel,101.0,538920,강하다,25.0,9.97,19538,48
15,webnovel,101.0,514812,김로아(진저더캣),51.0,9.95,20405,12
16,webnovel,101.0,485251,다인 김민경,78.0,9.94,23051,38
17,webnovel,101.0,554029,장현미,8.0,9.67,12096,25
18,webnovel,101.0,494448,이정운,70.0,9.96,24026,57
19,webnovel,101.0,514814,효월(김시현),51.0,9.84,18795,21
20,webnovel,101.0,538919,이하린,25.0,9.96,16871,23
21,webnovel,101.0,545434,체크인,18.0,9.97,16827,18
22,webnovel,101.0,554028,은빈,7.0,9.96,9908,4
23,webnovel,101.0,545432,최나루,17.0,9.93,14931,14
24,webnovel,101.0,485250,닻별,77.0,9.97,23148,18
25,webnovel,101.0,532198,청몽채화,34.0,9.92,15969,36
26,webnovel,101.0,523290,별규,44.0,9.95,17729,28
27,webnovel,101.0,545435,남꽃분,17.0,9.97,14054,34
28,webnovel,101.0,532199,이른봄,34.0,9.96,15968,58
29,webnovel,101.0,494450,월우,70.0,9.96,19414,15
30,webnovel,101.0,545430,로즈빈,17.0,9.97,12700,18
31,webnovel,101.0,485252,김청아,78.0,9.92,17509,24
32,webnovel,101.0,554030,초콜릿악마,8.0,9.94,9634,15
33,webnovel,101.0,494449,하야시,70.0,9.95,17522,58
34,webnovel,101.0,523285,용감한 자매,44.0,9.94,12407,16
35,webnovel,101.0,505098,사하,60.0,9.96,14202,32
36,webnovel,101.0,494446,백영옥,70.0,9.9,13163,13
37,webnovel,101.0,505100,밀밭,60.0,9.97,14320,27
38,webnovel,101.0,494453,순수(soonsu),53.0,9.95,11478,29
39,webnovel,101.0,538921,이도화(道華),26.0,9.95,7575,6
40,webnovel,101.0,374465,달콤J,8.0,9.93,79905,212
41,webnovel,101.0,272480,고결,15.0,9.93,67617,14
42,webnovel,101.0,374464,은빈,8.0,9.93,63047,66
43,webnovel,101.0,456722,안테,10.0,9.96,67218,345
44,webnovel,101.0,126772,윤이수,7.0,9.93,102470,89
45,webnovel,101.0,348260,박수정(방울마마),5.0,9.93,42818,56
46,webnovel,101.0,390145,시크크,7.0,9.94,38817,32
47,webnovel,101.0,153292,Lunar 이지연,6.0,9.94,47849,0
48,webnovel,101.0,99028,훈자,7.0,9.87,65463,1
49,webnovel,101.0,3,백묘,5.0,9.91,70110,5
50,webnovel,101.0,153308,김레인,10.0,9.94,69931,19
51,webnovel,101.0,4,유오디아,8.0,9.93,94853,10
52,webnovel,101.0,188284,루치아,5.0,9.89,50032,0
53,webnovel,101.0,252934,노승아,5.0,9.93,49449,11
54,webnovel,101.0,390140,용감한 자매,5.0,9.94,32905,30
55,webnovel,101.0,409349,강하다,7.0,9.94,40873,109
56,webnovel,101.0,140730,하야시,7.0,9.9,59187,14
57,webnovel,101.0,319781,Lee Jihye,7.0,9.92,38046,14
