,ID,main_score,concern_count,comments_count
0,466391,9.98,86342,181
1,398090,9.98,71965,188
2,514809,9.96,43191,125
3,505096,9.95,48463,76
4,523286,9.97,27875,31
5,552533,9.92,16989,34
6,514807,9.96,36450,56
7,466374,9.86,34765,92
8,483047,9.98,34029,29
9,514808,9.92,32022,34
10,473138,9.94,29185,37
11,554027,9.97,20521,28
12,532196,9.96,22545,26
13,505101,9.96,28195,35
14,538920,9.97,19538,48
15,514812,9.95,20405,12
16,485251,9.94,23051,38
17,554029,9.67,12096,25
18,494448,9.96,24026,57
19,514814,9.84,18795,21
20,538919,9.96,16871,23
21,545434,9.97,16827,18
22,554028,9.96,9908,4
23,545432,9.93,14931,14
24,485250,9.97,23148,18
25,532198,9.92,15969,36
26,523290,9.95,17729,28
27,545435,9.97,14054,34
28,532199,9.96,15968,58
29,494450,9.96,19414,15
30,545430,9.97,12700,18
31,485252,9.92,17509,24
32,554030,9.94,9634,15
33,494449,9.95,17522,58
34,523285,9.94,12407,16
35,505098,9.96,14202,32
36,494446,9.9,13163,13
37,505100,9.97,14320,27
38,494453,9.95,11478,29
39,538921,9.95,7575,6
40,374465,9.93,79905,212
41,272480,9.93,67617,14
42,374464,9.93,63047,66
43,456722,9.96,67218,345
44,126772,9.93,102470,89
45,348260,9.93,42818,56
46,390145,9.94,38817,32
47,153292,9.94,47849,0
48,99028,9.87,65463,1
49,3,9.91,70110,5
50,153308,9.94,69931,19
51,4,9.93,94853,10
52,188284,9.89,50032,0
53,252934,9.93,49449,11
54,390140,9.94,32905,30
55,409349,9.94,40873,109
56,140730,9.9,59187,14
57,319781,9.92,38046,14
58,188289,9.93,45709,6
59,319783,9.95,32208,18
60,307729,9.92,30632,3
61,204123,9.9,40239,14
62,361651,9.95,26960,29
63,409352,9.94,22453,13
64,307727,9.94,30220,0
65,84285,9.94,38733,11
66,67960,9.76,22351,13
67,398097,9.94,24685,89
68,252935,9.94,31150,1
69,319787,9.94,26737,15
70,466378,9.97,22065,23
71,113899,9.9,37203,0
72,433835,9.94,20641,21
73,333313,9.95,31197,58
74,466381,9.96,23148,40
75,433839,9.75,20978,72
76,113901,9.91,20970,1
77,153306,9.81,28444,3
78,433830,9.92,16737,17
79,2,9.94,41985,0
80,390141,9.94,23928,33
81,272481,9.93,19409,0
82,215390,9.93,22941,4
83,423618,9.96,20938,42
84,67958,9.92,24939,3
85,140728,9.93,30112,1
86,398091,9.93,15203,21
87,1,9.92,26745,3
88,166562,9.91,17848,0
89,73170,9.71,22557,1
90,473137,9.96,15590,23
91,319786,9.92,19909,5
92,272508,9.87,18747,4
93,348265,9.41,10658,1
94,63070,9.75,10884,1
95,252936,9.72,15739,1
96,319785,9.95,17553,1
