,comment_no,contents,deleted_yn,down_count,enc_writer_id,enc_writer_profile_user_id,group_no,is_facebook,is_me2day,is_mine,is_reply,is_twitter,is_yozm,mobile_yn,modified_ymdt,object_id,object_url,parent_comment_no,registered_ymdt,reply_level,status,ticket,up_count,visible_yn,writer_id,writer_ip,writer_nickname,writer_profile_type,writer_profile_user_id
0,2398093,ÃÖ°ö´Ï´Ù,N,0,FdYRmpIguxnhyEYCvmoyvg%3D%3D,De7R0AER%2FYBbRmzXkTFtgQ%3D%3D,-2398093,false,false,N,N,false,false,Y,2016-07-28T15:55:02.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-28T15:55:02.0+0900,1,0,novel01,0,Y,hhyy****,125.185.xxx.161,¶ÇÀÚ123,naver,hhyy****
1,2394590,"¿ï¸ç, ¿ôÀ¸¸ç, °¡½¿¼³·¹¸é¼­ º¸°íÀÖ½À´Ï´Ù. ¿¬Àç¿Ã¶ó¿À´Â ³¯ÀÌ ¿Ö ÀÌ¸® ±äÁö... È­.±İ¿äÀÏ 10½Ã30ºĞÀÌ µÇ¸é Á¦ÀÏ¸ÕÀú Å¬¸¯ÇÕ´Ï´Ù.",N,0,oipNMUWZy9AEvylSPGcQyg%3D%3D,t6ltESAtC4VHhd1BbcP6BQ%3D%3D,-2394590,false,false,N,N,false,false,Y,2016-07-28T10:22:55.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-26T18:47:09.0+0900,1,0,novel01,3,Y,jeon****,112.158.xxx.131,¼Ö¹æ¿ï,naver,jeon****
2,2394372,¿©ÅÂ±îÁö ÇÏ·çµµ ºüÁü¾øÀÌ ºÃ´Âµ¥ ¹ú½á ¿£µùÀÌ¶ó´¢!!!,N,0,NUaamsMftOeLRzvAdreh%2Bw%3D%3D,1bLt1QujQOcIJx7NglnS3Q%3D%3D,-2394372,false,false,N,N,false,false,Y,2016-07-28T10:22:58.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv#commentDiv,0,2016-07-26T15:39:02.0+0900,1,0,novel01,5,Y,jian****,218.62.xxx.51,±Í¿©¹ÌÇÇ±×,naver,jian****
3,2393037,¾ğÁ¦ ³ª¿Í¿ä¤Ğ¤Ğ,N,0,jpu7WD4HCDelfqzlvYJaKg%3D%3D,XCh2Cg7xrif%2BbnVNWI9ZDw%3D%3D,-2393037,false,false,N,N,false,false,Y,2016-07-26T07:44:39.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-26T07:44:39.0+0900,1,0,novel01,0,Y,19ml****,211.173.xxx.49,¸ù±Û¸ù±Û,naver,19ml****
4,2380822,¹«·áºĞ ´Ùº¸°í À¯·áºÎºĞÀÌ ±Ã±İÇØ °áÁ¦ÇØ¼­ ³¡±îÁö º¸°í ´Ù½Ã 1È¸ºÎÅÍ Á¤ÁÖÇàÇß¾î¿ä Ã¥ÀĞÀ¸¸é¼­ ¸Ó¸®¼Ó¿¡ ±×Àå¸éÀÇ ±×¸²À» ±×·Á°¡¸é¼­ º»°Ô ¾ğÁ¦ÀÎÁö ÀĞÀ¸¸é¼­ Âü ÁÁ¾Ò½À´Ï´Ù,N,0,WieMMj0xKSXzp6K8AsttcQ%3D%3D,NWqwlB9rMBJFiB2AcMMYsw%3D%3D,-2380822,false,false,N,N,false,false,Y,2016-07-28T10:23:02.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-18T09:01:03.0+0900,1,0,novel01,4,Y,ayou****,121.164.xxx.38,³îºÎ¸¶´­,naver,ayou****
5,2377614,Áø½Éµå¶ó¸¶È­ ÇØ¾ßµÉ ÀÛÇ°!,N,0,7mh2s9E9p6XbX84DZEzAYQ%3D%3D,6E6Rfx0xCz%2Fnub6uuNd9JQ%3D%3D,-2377614,false,false,N,N,false,false,Y,2016-07-27T18:58:43.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-15T22:27:05.0+0900,1,0,novel01,8,Y,ippn****,1.228.xxx.149,Ãàº¹sw,naver,ippn****
6,2372599,ÀÌ ¼Ò¼³ ÀĞ°í ÀÛ°¡´Ô ÀÛÇ° ´Ù ÀĞÀº»ç¶÷ ¼ÕÁ»  (³ª¸¸ ¹ÌÄ£°Å ¾Æ´ÏÀİ¾Æ),N,1,uAoN0n7ejdWkuAvkTqCG3A%3D%3D,5FBY6Sj%2BijHThuBDfHT5Hw%3D%3D,-2372599,false,false,N,N,false,false,N,2016-07-27T18:58:45.0+0900,novel-466391,http://novel.naver.com/webnovel/list.nhn?novelId=466391,0,2016-07-12T13:25:49.0+0900,1,0,novel01,6,Y,cute****,175.192.xxx.173,²ÉÃ¤,naver,cute****
7,2355083,"¹Ï°íº¸´Â ³ë½Â¾ÆÀÛ°¡´Ô±Û...
Çã´Ï º¸°í ´Ù¸¥°Íµµ ´Ù Ã£¾Æ¼­ µ·µé¿© º¸´ÂÁß

·Î¸ÇÆ½·¹½ÃÇÇ 
¹ı´ë·Î »ç¶ûÇÏ¶ó 
°áÈ¥Àº  ¹äÀÌ´Ù
¿ä ½Ã¸®Áîµé ¿¬°áµÇ¾î ´õ ÁÁÀºÀÛÇ°µé..

·Î¸Ç½º¸¸ ÀÖ´Â°ÍÀÌ ¾Æ´Ï¶ó
¹º°¡ ³²°ÜÁÖ´Â°ÍÀÌ ÀÖ¾î ´õ ÁÁ°í
³»°¡Á·À» ´Ù½Ã »ı°¢ÇÏ°í Ã¬±â°Ô µÇ¾î 
°¨»çÇØ¿ä ^^
¾ÕÀ¸·Îµµ ´õ ÁÁÀº±Û ±â´ëÇÒ²²¿ä",N,0,PqHeje2NXwZXJ2piLR0rMw%3D%3D,F6SiKmtEZMxzfkGCOTpNiQ%3D%3D,-2355083,false,false,N,N,false,false,Y,2016-07-28T10:26:25.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-07-02T01:23:07.0+0900,1,0,novel01,10,Y,moon****,223.62.xxx.227,´Ş,naver,moon****
8,2349756,ÀÌ¹Ì À¯·á·Î ´Ù ºÃÁö¸¸ ¹ÙÆ®´Ô ÀÏ·¯º¸·¯ Ç×»ó Ãâ±ÙµµÀåÂï³×¿ä.....ÇÏ ³Ñ³ª ÀºÇı·Î¿î°Í!!! µå¶ó¸¶·Î ³ª¿ÔÀ¸¸é ÁÁ°Ú¾î¿ä ¤Ğ¤Ğ ¹°·Ğ ¿©ÀÚ¾ÆÀÌµ¹Àº °ÅÀıÇÑ´å,N,0,BKumSHIujpwzkVOOFSaP%2BA%3D%3D,OLvq1rYY0yeocOrmo76KQg%3D%3D,-2349756,false,false,N,N,false,false,Y,2016-07-28T10:26:27.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-28T10:37:46.0+0900,1,0,novel01,15,Y,artk****,219.250.xxx.220,Àß»ì¾Æº¸¼¼,naver,artk****
9,2345285,¹«½ÉÈ÷ ºÃ´Ù°¡ ¿ÏÀü Á¤ÁÖÇà Çß³×¿ä...! ³Ñ³ª »ç¶û½º·¯¿î ÀÌ¾ß±â!,N,0,SkSsKHyBC6xDC9JlusLr2w%3D%3D,BY4nHxRv1Yopsddzn6iVUg%3D%3D,-2345285,false,false,N,N,false,false,Y,2016-07-28T10:26:31.0+0900,novel-466391,http://m.novel.naver.com/ncomment/ncommentList.nhn?novelId=466391&section=webnovel#commentDiv,0,2016-06-25T00:29:14.0+0900,1,0,novel01,8,Y,dlqh****,183.109.xxx.94,,naver,dlqh****
